Equipment type,AREA,REGION,CLUSTER,IMG SubReg,agfa_wasquotedcreatedname,agfa_maintypecodename,FC category sort,IMG SubReg_1,agfa_weightedamountexcludingsma_base,destination
DR 100e,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,39453.11,GREECE
DR 100e,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,37800.020000000004,GREECE
DR 100e,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,36000.0,GREECE
DR 800,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,179910.01,GREECE
DR 100s,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,77638.3,POLAND
DR 100e,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,24389.460000000003,POLAND
DR 100e,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,25545.739999999998,POLAND
DX-D 300,ALMATY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ALMATY,Yes,Expand existing business,1,ALMATY,79920.0,MONGOLIA
DR 400,ITALY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,ITALY,Yes,Expand existing business,1,ITALY,80100.0,ITALY
DR 600,HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,HUNGARY,Yes,Expand existing business,1,HUNGARY,100357.20000000001,SERBIA
DR 800,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,255433.04,POLAND
DX-D 300,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,67977.01,GREECE
DR 800,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,167580.0,GREECE
DR 100e,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,10665.0,GREECE
DR 600,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,154800.0,GREECE
DR 100e,GREECE,EUROPE-PACIFIC,EUROPE EAST & SOUTH,GREECE,Yes,Expand existing business,1,GREECE,34398.009999999995,GREECE
DR 400,HUNGARY,EUROPE-PACIFIC,EUROPE EAST & SOUTH,HUNGARY,Yes,Expand existing business,1,HUNGARY,90000.0,CZECHIA
DR 100s,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,79777.43999999999,POLAND
DR 100s,POLAND,EUROPE-PACIFIC,EUROPE EAST & SOUTH,POLAND,Yes,Expand existing business,1,POLAND,79071.54,POLAND
