cr57c_accountid,cr57c_address2_country,cr57c_agfa_saprecordid
1532E9C7-21EB-ED11-8849-0022489FD093,United States of America,
9C32E9C7-21EB-ED11-8849-0022489FD093,United States of America,
8D8469C7-21EB-ED11-8849-0022489FD623,United States of America,
B38469C7-21EB-ED11-8849-0022489FD623,United States of America,
260DCACC-21EB-ED11-8849-0022489FD80B,United States of America,
76A2E1CD-21EB-ED11-8849-0022489FDDEE,United States of America,
90011E6D-22EB-ED11-8849-000D3A680C8A,United States of America,
FF31E9C7-21EB-ED11-8849-0022489FD093,United States of America,
9A8469C7-21EB-ED11-8849-0022489FD623,United States of America,
DE8469C7-21EB-ED11-8849-0022489FD623,United States of America,
888FBA74-22EB-ED11-8849-0022489FD80B,United States of America,
B4C0156F-22EB-ED11-8848-0022489FDB1D,United States of America,
A1B01FC4-21EB-ED11-8849-000D3A680C8A,United States of America,
2EB11FC4-21EB-ED11-8849-000D3A680C8A,United States of America,
BB83ED6E-22EB-ED11-8848-000D3AB11D4F,United States of America,
D6A7A671-22EB-ED11-8849-000D3ADA93B4,United States of America,
C62B01C5-21EB-ED11-8849-0022489D9FCF,United States of America,
0F2C01C5-21EB-ED11-8849-0022489D9FCF,United States of America,
D6111671-22EB-ED11-8849-0022489D9FCF,United States of America,
1B121671-22EB-ED11-8849-0022489D9FCF,United States of America,
9BFCD670-22EB-ED11-8849-0022489FD0DC,United States of America,
8B0ED476-22EB-ED11-8849-0022489FD0DC,United States of America,
2261CFC6-21EB-ED11-8849-0022489FD80B,United States of America,
438D8B6E-22EB-ED11-8849-0022489FDDEE,United States of America,
F61B576F-22EB-ED11-8849-0022489FDE79,United States of America,
FCA7A671-22EB-ED11-8849-000D3ADA93B4,United States of America,
F82B01C5-21EB-ED11-8849-0022489D9FCF,United States of America,
2C121671-22EB-ED11-8849-0022489D9FCF,United States of America,
3F121671-22EB-ED11-8849-0022489D9FCF,United States of America,
C2844574-22EB-ED11-8849-0022489FD623,United States of America,
140DCACC-21EB-ED11-8849-0022489FD80B,United States of America,
5161CFC6-21EB-ED11-8849-0022489FD80B,United States of America,
AC82EEC1-21EB-ED11-8849-0022489FDDEE,United States of America,
